Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,BoxConstraint,KernelScale
SA_SR,0.088,0.204,0.438,0.225,0.297,80.7,84.9,68,1.181,0.499
RR_SR,0.086,0.202,0.442,0.207,0.287,81.3,83.6,71.7,0.209,7.118
RVNS_SR,0.062,0.184,0.345,0.191,0.313,78.4,73.3,58.8,11.718,2.369
SD_SR,0.058,0.18,0.326,0.179,0.304,79.7,71.7,62.3,0.296,0.907
Oracle,0.112,0.203,1,,,,,,,
Selector,0.088,0.204,0.435,0.213,0.29,,81.8,32.5,,
