Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,BoxConstraint,KernelScale
SA_meanCT,2.202,0.492,0.127,0.92,0.907,93.8,92.2,55.9,15.986,1.42
RR_meanCT,2.085,0.459,0.162,1.06,0.934,90.8,88.9,49.4,5.206,0.322
RVNS_meanCT,2.679,0.611,0.046,0.309,0.431,99.5,100,89.1,1.728,0.949
SD_meanCT,2.775,0.628,0.044,0.446,0.508,99.7,100,93.2,4.815,4.289
Oracle,2.058,0.46,1,,,,,,,
Selector,2.094,0.422,0.17,1.26,0.848,,88.1,33.8,,
